IDS_heuristic,IDS_no_heuristic,Zobrist,Base
8.000000000001062e-06,6.000000000002531e-06,1.4000000000000123e-05,4.9999999999980616e-06,1
1.5000000000001124e-05,1.2000000000001593e-05,2.6999999999999247e-05,1.1000000000000593e-05,2
1.2000000000001593e-05,1.2999999999999123e-05,1.1000000000000593e-05,9.999999999999593e-06,3
2.2000000000001185e-05,1.9999999999999185e-05,2.1000000000000185e-05,1.9999999999999185e-05,4
4.200000000000037e-05,3.900000000000084e-05,2.8000000000000247e-05,3.200000000000425e-05,5
9.20000000000018e-05,8.59999999999958e-05,7.800000000000168e-05,0.00010099999999999693,6
6.300000000000056e-05,6.199999999999956e-05,5.099999999999549e-05,7.000000000000062e-05,7
0.0001229999999999981,0.00011099999999999999,9.800000000000086e-05,0.00012999999999999817,8
0.00017100000000000448,0.00016899999999999554,0.0001449999999999993,0.00022300000000000098,9
0.0005870000000000042,0.0005719999999999961,0.0005320000000000047,0.0009189999999999962,10
0.000899000000000004,0.0008760000000000018,0.0008529999999999996,0.001569999999999995,11
0.002253999999999999,0.0020770000000000025,0.0022039999999999976,0.003942000000000001,12
0.0012809999999999974,0.0012469999999999981,0.0012749999999999984,0.002242000000000001,13
0.011745000000000005,0.011492000000000002,0.011092000000000005,0.023210999999999996,14
0.005443000000000003,0.005370999999999987,0.005268999999999996,0.010721000000000008,15
0.018959999999999977,0.018588999999999994,0.019127000000000005,0.04868699999999998,16
0.023936999999999986,0.02294999999999997,0.02349800000000002,0.05407999999999996,17
0.07891399999999998,0.07790999999999992,0.07896400000000003,0.2087,18
0.07691999999999999,0.0751139999999999,0.07490299999999994,0.19276300000000002,19
0.299917,0.29831700000000017,0.29387799999999986,0.884576,20
0.2851189999999999,0.281787,0.2864619999999998,0.7850629999999996,21
1.224844,1.2030070000000004,1.165203,4.012976,22
1.1907309999999995,1.1706459999999996,1.1482099999999988,3.801789000000001,23
4.430750999999997,4.380172999999996,4.509691,17.307396000000004,24
4.937792999999999,5.022950999999999,4.953600000000002,17.628207000000003,25
19.565725999999998,19.597126000000003,19.153712,81.777931,26
18.516568000000007,18.337312999999995,18.11848599999999,71.138958,27
78.62701100000004,79.16648299999997,76.31954400000001,100.00002100000006,28
87.80665499999998,88.07201500000008,85.16973999999993,100.00002699999993,29
100.00258500000018,100.0026640000001,100.00002100000006,100.00002999999992,30
100.00518499999998,100.00507700000003,100.00003599999991,100.00002100000006,31
100.00761499999999,100.00755100000015,100.00003300000003,100.00002600000016,32
100.01008900000033,100.01000199999999,100.00004099999978,100.00004600000011,33
100.01262099999985,100.01263199999994,100.00003400000014,100.00004500000023,34
100.01030600000013,100.01024600000028,100.00003199999992,100.00003000000015,35
100.01545400000032,100.01533699999982,100.00003199999992,100.00003900000002,36
100.01575700000012,100.01565700000037,100.00003599999991,100.00005099999998,37
100.01849799999945,100.0181819999998,100.00003599999945,100.00005299999975,38
100.02099100000032,100.02078200000051,100.00003100000049,100.00004200000058,39
100.02360500000032,100.02338400000008,100.00004000000081,100.00003500000003,40
