IDS_heuristic, board_length
9.999999999999593e-06,1
1.5999999999998654e-05,2
1.5999999999998654e-05,3
2.3999999999999716e-05,4
4.39999999999989e-05,5
9.299999999999933e-05,6
6.300000000000056e-05,7
0.00011999999999999858,8
0.00017599999999999907,9
0.0006029999999999994,10
0.000961,11
0.0022530000000000015,12
0.0013160000000000047,13
0.011637000000000002,14
0.0056830000000000006,15
0.019382000000000003,16
0.023565000000000003,17
0.080559,18
0.07715200000000003,19
0.306621,20
0.297497,21
1.138528,22
1.2248090000000003,23
4.418329,24
4.8384860000000005,25
19.441639000000002,26
18.600387,27
78.35723099999998,28
87.32495399999999,29
100.002601,30
